labels,timestamp,value
{},1699855753,0.15895745034332137
{},1699855758,0.15893743646877057
{},1699855763,0.15896859632597266
{},1699855768,0.1589644629539592
{},1699855773,0.1589644629539592
{},1699855778,0.15895949874225834
{},1699855783,0.15895949874225834
{},1699855788,0.15896777835767084
{},1699855793,0.15896777835767084
{},1699855798,0.1589724127991589
{},1699855803,0.15897241279915897
{},1699855808,0.15897479408369067
{},1699855813,0.1589747940836907
{},1699855818,0.15895590724233716
{},1699855823,0.15895590724233716
{},1699855828,0.15896281457819328
{},1699855833,0.15896281457819328
{},1699855838,0.1589569515829147
{},1699855843,0.15895694835010515
{},1699855848,0.15898876098143802
{},1699855853,0.1589887533855871
{},1699855858,0.1590296861946902
{},1699855863,0.15902966164224774
{},1699855868,0.15904604331700065
{},1699855873,0.15904604469513586
{},1699855878,0.15903944819227764
{},1699855883,0.15903944981795276
{},1699855888,0.15904081979559642
{},1699855893,0.15904086328537265
{},1699855898,0.1590548704196865
{},1699855903,0.15905492573502114
{},1699855908,0.15910380223152076
{},1699855913,0.15910384791285437
{},1699855918,0.15916967061322262
{},1699855923,0.1591697925381776
{},1699855928,0.15923795327057982
{},1699855933,0.15923793344827256
{},1699855938,0.1592860133532102
{},1699855943,0.1592860533310246
{},1699855948,0.15928208218148993
{},1699855953,0.1592819343975867
{},1699855958,0.15923183153560805
{},1699855963,0.15923160940536873
{},1699855968,0.15930351685140862
{},1699855973,0.15930323765942284
{},1699855978,0.15937016040580682
{},1699855983,0.15936941900977183
{},1699855988,0.15940347426372486
{},1699855993,0.1594025010396174
{},1699855998,0.159457834817596
{},1699856003,0.15945713669988917
{},1699856008,0.15953149311518283
{},1699856013,0.1595307412873211
{},1699856018,0.15953186368323147
{},1699856023,0.15953118696174529
{},1699856028,0.1595215207988211
{},1699856033,0.1595203921409627
{},1699856038,0.15942149645601014
{},1699856043,0.1594202536710336
{},1699856048,0.15926833783309732
{},1699856053,0.15926726134115424
{},1699856058,0.15918972218525057
{},1699856063,0.1591900009462045
{},1699856068,0.15902464734775063
{},1699856073,0.15902462267660655
{},1699856078,0.15895801517426422
{},1699856083,0.15895783356582577
{},1699856088,0.15896403390044478
{},1699856093,0.15896442511118195
{},1699856098,0.1589792085866668
{},1699856103,0.15898101539515994
{},1699856108,0.15890207473924578
{},1699856113,0.1589044023936522
{},1699856118,0.15878606107626528
{},1699856123,0.15878911671256016
{},1699856128,0.1587462619297352
{},1699856133,0.1587499689612611
{},1699856138,0.158734951840996
{},1699856143,0.15873986317403854
{},1699856148,0.15880793133475188
{},1699856153,0.1588135231402628
{},1699856158,0.15884972708888118
{},1699856163,0.15885639992319722
{},1699856168,0.15869231136440007
{},1699856173,0.158703599365436
{},1699856178,0.15866494939801748
{},1699856183,0.158676914961989
{},1699856188,0.15868188035364228
{},1699856193,0.1586955346169996
{},1699856198,0.15871159969705345
{},1699856203,0.15872507518463572
{},1699856208,0.1587043812974508
{},1699856213,0.1587196772757934
{},1699856218,0.15881832379265043
{},1699856223,0.15883471342745248
{},1699856228,0.15892073217958022
{},1699856233,0.15893628609500607
{},1699856238,0.1590558578208102
{},1699856243,0.15907238679859814
{},1699856248,0.15901574529643592
{},1699856253,0.1590347075322036
{},1699856258,0.1590774546978111
{},1699856263,0.1590987745531029
{},1699856268,0.15925609935537063
{},1699856273,0.159276631484486
{},1699856278,0.1593733724897879
{},1699856283,0.15939437094422143
{},1699856288,0.1594083317665428
{},1699856293,0.1594275791245282
{},1699856298,0.15976483238979713
{},1699856303,0.1597866937481991
{},1699856308,0.15977176591145748
{},1699856313,0.15979303098023448
{},1699856318,0.15986008969886353
{},1699856323,0.15988188825227942
{},1699856328,0.159881403900905
{},1699856333,0.15990286724518
{},1699856338,0.1599330974682668
{},1699856343,0.15995261680169917
{},1699856348,0.16003612256725816
{},1699856353,0.16005312702746227
{},1699856358,0.16021193904494077
{},1699856363,0.16023389308437397
{},1699856368,0.1602744033688438
{},1699856373,0.16029856090452504
{},1699856378,0.1603491547632612
{},1699856383,0.16037502130483403
{},1699856388,0.1605133773727418
{},1699856393,0.16053483492895992
{},1699856398,0.16058930662382054
{},1699856403,0.16061297786584972
{},1699856408,0.16069452961072908
{},1699856413,0.16071568427060914
{},1699856418,0.16079450678582602
{},1699856423,0.16083030278278257
{},1699856428,0.16098961571201795
{},1699856433,0.16098961571201797
{},1699856438,0.16098960045170044
{},1699856443,0.16098960045170047
{},1699856448,0.16108399095102688
{},1699856453,0.1610839909510269
{},1699856458,0.16111668318779815
{},1699856463,0.16111668318779815
{},1699856468,0.16109055085651827
{},1699856473,0.16109055085651827
{},1699856478,0.1612176103449217
{},1699856483,0.1612176103449217
{},1699856488,0.16121453928352428
{},1699856493,0.16121453928352433
{},1699856498,0.16123316262507478
{},1699856503,0.16123316262507476
{},1699856508,0.16120036124104686
{},1699856513,0.16120036124104686
{},1699856518,0.1611750031210046
{},1699856523,0.16117500312100455
{},1699856528,0.16115206971517568
{},1699856533,0.16115206971517568
{},1699856538,0.16115056557791912
{},1699856543,0.16115056557791912
{},1699856548,0.16111065589491055
{},1699856553,0.161110656335648
{},1699856558,0.16108749043648876
{},1699856563,0.16108749152260649
{},1699856568,0.1610823006618383
{},1699856573,0.161082304442852
{},1699856578,0.16111206068675668
{},1699856583,0.16111206112347548
{},1699856588,0.16116915231067042
{},1699856593,0.1611691536325483
{},1699856598,0.16116646397485482
{},1699856603,0.16116646025810902
{},1699856608,0.16121254843746072
{},1699856613,0.16121254529736617
{},1699856618,0.16120610699799617
{},1699856623,0.16120610747872358
{},1699856628,0.16125250190002074
{},1699856633,0.1612524942726106
{},1699856638,0.16131174709912813
{},1699856643,0.16131176690608495
{},1699856648,0.16133785561056005
{},1699856653,0.16133787217647322
