labels,timestamp,value
{},1700173534,10
{},1700173539,10
{},1700173544,10
{},1700173549,10
{},1700173554,10
{},1700173559,10
{},1700173564,10
{},1700173569,10
{},1700173574,10
{},1700173579,10
{},1700173584,10
{},1700173589,10
{},1700173594,10
{},1700173599,10
{},1700173604,10
{},1700173609,10
{},1700173614,10
{},1700173619,10
{},1700173624,10
{},1700173629,10
{},1700173634,10
{},1700173639,10
{},1700173644,10
{},1700173649,10
{},1700173654,10
{},1700173659,10
{},1700173664,10
{},1700173669,10
{},1700173674,10
{},1700173679,10
{},1700173684,10
{},1700173689,10
{},1700173694,10
{},1700173699,10
{},1700173704,10
{},1700173709,10
{},1700173714,10
{},1700173719,10
{},1700173724,10
{},1700173729,10
{},1700173734,10
{},1700173739,10
{},1700173744,10
{},1700173749,10
{},1700173754,10
{},1700173759,10
{},1700173764,10
{},1700173769,10
{},1700173774,10
{},1700173779,10
{},1700173784,10
{},1700173789,10
{},1700173794,10
{},1700173799,10
{},1700173804,10
{},1700173809,10
{},1700173814,10
{},1700173819,10
{},1700173824,10
{},1700173829,10
{},1700173834,10
{},1700173839,10
{},1700173844,10
{},1700173849,10
{},1700173854,10
{},1700173859,10
{},1700173864,10
{},1700173869,10
{},1700173874,10
{},1700173879,10
{},1700173884,10
{},1700173889,10
{},1700173894,10
{},1700173899,10
{},1700173904,10
{},1700173909,10
{},1700173914,10
{},1700173919,10
{},1700173924,10
{},1700173929,10
{},1700173934,10
{},1700173939,10
{},1700173944,10
{},1700173949,10
{},1700173954,10
{},1700173959,10
{},1700173964,10
{},1700173969,10
{},1700173974,10
{},1700173979,10
{},1700173984,10
{},1700173989,10
{},1700173994,10
{},1700173999,10
{},1700174004,10
{},1700174009,10
{},1700174014,10
{},1700174019,10
{},1700174024,10
{},1700174029,10
{},1700174034,10
{},1700174039,10
{},1700174044,10
{},1700174049,10
{},1700174054,10
{},1700174059,10
{},1700174064,10
{},1700174069,10
{},1700174074,10
{},1700174079,10
{},1700174084,10
{},1700174089,10
{},1700174094,10
{},1700174099,10
{},1700174104,10
{},1700174109,10
{},1700174114,10
{},1700174119,10
{},1700174124,10
{},1700174129,10
{},1700174134,10
{},1700174139,10
{},1700174144,10
{},1700174149,10
{},1700174154,10
{},1700174159,10
{},1700174164,10
{},1700174169,10
{},1700174174,10
{},1700174179,10
{},1700174184,10
{},1700174189,10
{},1700174194,10
{},1700174199,10
{},1700174204,1.789569706
{},1700174209,1.789569706
{},1700174214,1.789569706
{},1700174219,1.789569706
{},1700174224,1.789569706
{},1700174229,1.789569706
{},1700174234,1.789569706
{},1700174239,1.789569706
{},1700174244,1.789569706
{},1700174249,1.789569706
{},1700174254,1.789569706
{},1700174259,1.789569706
{},1700174264,1.789569706
{},1700174269,1.789569706
{},1700174274,1.789569706
{},1700174279,1.789569706
{},1700174284,1.789569706
{},1700174289,1.789569706
{},1700174294,1.789569706
{},1700174299,1.789569706
{},1700174304,1.789569706
{},1700174309,1.789569706
{},1700174314,0.536870911
{},1700174319,1.789569706
{},1700174324,0.536870911
{},1700174329,1.789569706
{},1700174334,0.447392426
{},1700174339,0.246065832
{},1700174344,0.246065832
{},1700174349,0.223696211
{},1700174354,0.223696211
{},1700174359,0.223696211
{},1700174364,0.223696211
{},1700174369,0.223696211
{},1700174374,0.223696211
{},1700174379,0.223696211
{},1700174384,0.223696211
{},1700174389,0.223696211
{},1700174394,0.223696211
{},1700174399,0.223696211
{},1700174404,0.223696211
{},1700174409,0.223696211
{},1700174414,0.223696211
{},1700174419,0.223696211
{},1700174424,0.223696211
{},1700174429,0.223696211
{},1700174434,0.223696211
