labels,timestamp,value
{},1700187635,10
{},1700187640,10
{},1700187645,10
{},1700187650,10
{},1700187655,10
{},1700187660,10
{},1700187665,10
{},1700187670,10
{},1700187675,10
{},1700187680,10
{},1700187685,10
{},1700187690,10
{},1700187695,10
{},1700187700,10
{},1700187705,10
{},1700187710,10
{},1700187715,10
{},1700187720,10
{},1700187725,10
{},1700187730,10
{},1700187735,10
{},1700187740,10
{},1700187745,10
{},1700187750,10
{},1700187755,10
{},1700187760,10
{},1700187765,10
{},1700187770,10
{},1700187775,10
{},1700187780,10
{},1700187785,10
{},1700187790,10
{},1700187795,10
{},1700187800,10
{},1700187805,10
{},1700187810,10
{},1700187815,10
{},1700187820,10
{},1700187825,10
{},1700187830,10
{},1700187835,10
{},1700187840,10
{},1700187845,10
{},1700187850,10
{},1700187855,10
{},1700187860,10
{},1700187865,10
{},1700187870,10
{},1700187875,10
{},1700187880,10
{},1700187885,10
{},1700187890,10
{},1700187895,10
{},1700187900,10
{},1700187905,10
{},1700187910,10
{},1700187915,10
{},1700187920,10
{},1700187925,10
{},1700187930,10
{},1700187935,10
{},1700187940,10
{},1700187945,10
{},1700187950,10
{},1700187955,10
{},1700187960,10
{},1700187965,10
{},1700187970,10
{},1700187975,10
{},1700187980,10
{},1700187985,10
{},1700187990,10
{},1700187995,10
{},1700188000,10
{},1700188005,10
{},1700188010,10
{},1700188015,10
{},1700188020,10
{},1700188025,10
{},1700188030,10
{},1700188035,10
{},1700188040,10
{},1700188045,10
{},1700188050,10
{},1700188055,10
{},1700188060,10
{},1700188065,10
{},1700188070,10
{},1700188075,10
{},1700188080,10
{},1700188085,10
{},1700188090,10
{},1700188095,10
{},1700188100,10
{},1700188105,10
{},1700188110,10
{},1700188115,10
{},1700188120,10
{},1700188125,10
{},1700188130,10
{},1700188135,10
{},1700188140,10
{},1700188145,10
{},1700188150,10
{},1700188155,10
{},1700188160,10
{},1700188165,10
{},1700188170,10
{},1700188175,10
{},1700188180,10
{},1700188185,10
{},1700188190,10
{},1700188195,10
{},1700188200,10
{},1700188205,10
{},1700188210,10
{},1700188215,10
{},1700188220,10
{},1700188225,10
{},1700188230,10
{},1700188235,10
{},1700188240,10
{},1700188245,10
{},1700188250,10
{},1700188255,10
{},1700188260,10
{},1700188265,10
{},1700188270,10
{},1700188275,10
{},1700188280,10
{},1700188285,10
{},1700188290,10
{},1700188295,10
{},1700188300,10
{},1700188305,10
{},1700188310,10
{},1700188315,10
{},1700188320,10
{},1700188325,10
{},1700188330,10
{},1700188335,10
{},1700188340,10
{},1700188345,10
{},1700188350,10
{},1700188355,10
{},1700188360,10
{},1700188365,10
{},1700188370,10
{},1700188375,10
{},1700188380,10
{},1700188385,10
{},1700188390,10
{},1700188395,10
{},1700188400,10
{},1700188405,10
{},1700188410,10
{},1700188415,10
{},1700188420,10
{},1700188425,10
{},1700188430,10
{},1700188435,10
{},1700188440,10
{},1700188445,10
{},1700188450,10
{},1700188455,10
{},1700188460,10
{},1700188465,10
{},1700188470,10
{},1700188475,10
{},1700188480,10
{},1700188485,10
{},1700188490,10
{},1700188495,10
{},1700188500,10
{},1700188505,10
{},1700188510,10
{},1700188515,10
{},1700188520,10
{},1700188525,10
{},1700188530,10
{},1700188535,10
