labels,timestamp,value
{consumergroup=shufflebench-kstreams},1699996131,1037799
{consumergroup=shufflebench-kstreams},1699996136,1040754
{consumergroup=shufflebench-kstreams},1699996141,1015369
{consumergroup=shufflebench-kstreams},1699996146,969592
{consumergroup=shufflebench-kstreams},1699996151,947861
{consumergroup=shufflebench-kstreams},1699996156,883600
{consumergroup=shufflebench-kstreams},1699996161,860648
{consumergroup=shufflebench-kstreams},1699996166,862010
{consumergroup=shufflebench-kstreams},1699996171,1229012
{consumergroup=shufflebench-kstreams},1699996176,1209983
{consumergroup=shufflebench-kstreams},1699996181,1183492
{consumergroup=shufflebench-kstreams},1699996186,1194730
{consumergroup=shufflebench-kstreams},1699996191,1141700
{consumergroup=shufflebench-kstreams},1699996196,1096344
{consumergroup=shufflebench-kstreams},1699996201,1086377
{consumergroup=shufflebench-kstreams},1699996206,1081684
{consumergroup=shufflebench-kstreams},1699996211,1043633
{consumergroup=shufflebench-kstreams},1699996216,987078
{consumergroup=shufflebench-kstreams},1699996221,987411
{consumergroup=shufflebench-kstreams},1699996226,964830
{consumergroup=shufflebench-kstreams},1699996231,1197090
{consumergroup=shufflebench-kstreams},1699996236,1117400
{consumergroup=shufflebench-kstreams},1699996241,1094268
{consumergroup=shufflebench-kstreams},1699996246,1088925
{consumergroup=shufflebench-kstreams},1699996251,1276936
{consumergroup=shufflebench-kstreams},1699996256,1277588
{consumergroup=shufflebench-kstreams},1699996261,1209598
{consumergroup=shufflebench-kstreams},1699996266,1239513
{consumergroup=shufflebench-kstreams},1699996271,1240472
{consumergroup=shufflebench-kstreams},1699996276,1160479
{consumergroup=shufflebench-kstreams},1699996281,1143030
{consumergroup=shufflebench-kstreams},1699996286,1151744
{consumergroup=shufflebench-kstreams},1699996291,1120162
{consumergroup=shufflebench-kstreams},1699996296,1104441
{consumergroup=shufflebench-kstreams},1699996301,1058809
{consumergroup=shufflebench-kstreams},1699996306,1071460
{consumergroup=shufflebench-kstreams},1699996311,1072234
{consumergroup=shufflebench-kstreams},1699996316,1005410
{consumergroup=shufflebench-kstreams},1699996321,1007223
{consumergroup=shufflebench-kstreams},1699996326,1010384
{consumergroup=shufflebench-kstreams},1699996331,972856
{consumergroup=shufflebench-kstreams},1699996336,939798
{consumergroup=shufflebench-kstreams},1699996341,919777
{consumergroup=shufflebench-kstreams},1699996346,896212
{consumergroup=shufflebench-kstreams},1699996351,903156
{consumergroup=shufflebench-kstreams},1699996356,851062
{consumergroup=shufflebench-kstreams},1699996361,1043978
{consumergroup=shufflebench-kstreams},1699996366,1037786
{consumergroup=shufflebench-kstreams},1699996371,1000891
{consumergroup=shufflebench-kstreams},1699996376,1003156
{consumergroup=shufflebench-kstreams},1699996381,954245
{consumergroup=shufflebench-kstreams},1699996386,942964
{consumergroup=shufflebench-kstreams},1699996391,930860
{consumergroup=shufflebench-kstreams},1699996396,898656
{consumergroup=shufflebench-kstreams},1699996401,894436
{consumergroup=shufflebench-kstreams},1699996406,856080
{consumergroup=shufflebench-kstreams},1699996411,848496
{consumergroup=shufflebench-kstreams},1699996416,804843
