labels,timestamp,value
{},1699801911,10
{},1699801916,10
{},1699801921,10
{},1699801926,10
{},1699801931,10
{},1699801936,10
{},1699801941,10
{},1699801946,10
{},1699801951,10
{},1699801956,10
{},1699801961,10
{},1699801966,10
{},1699801971,10
{},1699801976,10
{},1699801981,10
{},1699801986,10
{},1699801991,10
{},1699801996,10
{},1699802001,10
{},1699802006,10
{},1699802011,10
{},1699802016,10
{},1699802021,10
{},1699802026,10
{},1699802031,10
{},1699802036,10
{},1699802041,10
{},1699802046,10
{},1699802051,10
{},1699802056,10
{},1699802061,10
{},1699802066,10
{},1699802071,10
{},1699802076,10
{},1699802081,10
{},1699802086,10
{},1699802091,10
{},1699802096,10
{},1699802101,10
{},1699802106,10
{},1699802111,10
{},1699802116,10
{},1699802121,10
{},1699802126,10
{},1699802131,10
{},1699802136,10
{},1699802141,10
{},1699802146,10
{},1699802151,10
{},1699802156,10
{},1699802161,10
{},1699802166,10
{},1699802171,10
{},1699802176,10
{},1699802181,10
{},1699802186,10
{},1699802191,10
{},1699802196,10
{},1699802201,10
{},1699802206,10
{},1699802211,10
{},1699802216,10
{},1699802221,10
{},1699802226,10
{},1699802231,10
{},1699802236,10
{},1699802241,10
{},1699802246,10
{},1699802251,10
{},1699802256,10
{},1699802261,10
{},1699802266,10
{},1699802271,10
{},1699802276,10
{},1699802281,10
{},1699802286,10
{},1699802291,10
{},1699802296,10
{},1699802301,10
{},1699802306,10
{},1699802311,10
{},1699802316,10
{},1699802321,10
{},1699802326,10
{},1699802331,10
{},1699802336,10
{},1699802341,10
{},1699802346,10
{},1699802351,10
{},1699802356,10
{},1699802361,10
{},1699802366,10
{},1699802371,10
{},1699802376,10
{},1699802381,10
{},1699802386,10
{},1699802391,10
{},1699802396,10
{},1699802401,10
{},1699802406,10
{},1699802411,10
{},1699802416,10
{},1699802421,10
{},1699802426,10
{},1699802431,10
{},1699802436,10
{},1699802441,10
{},1699802446,10
{},1699802451,10
{},1699802456,10
{},1699802461,10
{},1699802466,10
{},1699802471,10
{},1699802476,10
{},1699802481,10
{},1699802486,10
{},1699802491,10
{},1699802496,10
{},1699802501,10
{},1699802506,10
{},1699802511,10
{},1699802516,10
{},1699802521,10
{},1699802526,10
{},1699802531,10
{},1699802536,10
{},1699802541,10
{},1699802546,10
{},1699802551,10
{},1699802556,10
{},1699802561,10
{},1699802566,10
{},1699802571,10
{},1699802576,10
{},1699802581,10
{},1699802586,10
{},1699802591,10
{},1699802596,10
{},1699802601,10
{},1699802606,10
{},1699802611,10
{},1699802616,10
{},1699802621,10
{},1699802626,10
{},1699802631,10
{},1699802636,10
{},1699802641,10
{},1699802646,10
{},1699802651,10
{},1699802656,10
{},1699802661,10
{},1699802666,10
{},1699802671,10
{},1699802676,10
{},1699802681,10
{},1699802686,10
{},1699802691,10
{},1699802696,10
{},1699802701,10
{},1699802706,10
{},1699802711,10
{},1699802716,10
{},1699802721,10
{},1699802726,10
{},1699802731,10
{},1699802736,10
{},1699802741,10
{},1699802746,10
{},1699802751,10
{},1699802756,10
{},1699802761,10
{},1699802766,10
{},1699802771,10
{},1699802776,10
{},1699802781,10
{},1699802786,10
{},1699802791,10
{},1699802796,10
{},1699802801,10
{},1699802806,10
{},1699802811,10
