labels,timestamp,value
{},1700140153,10
{},1700140158,10
{},1700140163,10
{},1700140168,10
{},1700140173,10
{},1700140178,10
{},1700140183,10
{},1700140188,10
{},1700140193,10
{},1700140198,10
{},1700140203,10
{},1700140208,10
{},1700140213,10
{},1700140218,10
{},1700140223,10
{},1700140228,10
{},1700140233,10
{},1700140238,10
{},1700140243,10
{},1700140248,10
{},1700140253,10
{},1700140258,10
{},1700140263,10
{},1700140268,10
{},1700140273,10
{},1700140278,10
{},1700140283,10
{},1700140288,10
{},1700140293,10
{},1700140298,10
{},1700140303,10
{},1700140308,10
{},1700140313,10
{},1700140318,10
{},1700140323,10
{},1700140328,10
{},1700140333,10
{},1700140338,10
{},1700140343,10
{},1700140348,10
{},1700140353,10
{},1700140358,10
{},1700140363,10
{},1700140368,10
{},1700140373,10
{},1700140378,10
{},1700140383,10
{},1700140388,10
{},1700140393,10
{},1700140398,10
{},1700140403,10
{},1700140408,10
{},1700140413,10
{},1700140418,10
{},1700140423,10
{},1700140428,10
{},1700140433,10
{},1700140438,10
{},1700140443,10
{},1700140448,10
{},1700140453,10
{},1700140458,10
{},1700140463,10
{},1700140468,10
{},1700140473,10
{},1700140478,10
{},1700140483,10
{},1700140488,10
{},1700140493,10
{},1700140498,10
{},1700140503,10
{},1700140508,10
{},1700140513,10
{},1700140518,10
{},1700140523,10
{},1700140528,10
{},1700140533,10
{},1700140538,10
{},1700140543,10
{},1700140548,10
{},1700140553,10
{},1700140558,10
{},1700140563,10
{},1700140568,10
{},1700140573,10
{},1700140578,10
{},1700140583,10
{},1700140588,10
{},1700140593,10
{},1700140598,10
{},1700140603,10
{},1700140608,10
{},1700140613,10
{},1700140618,10
{},1700140623,10
{},1700140628,10
{},1700140633,10
{},1700140638,10
{},1700140643,10
{},1700140648,10
{},1700140653,10
{},1700140658,10
{},1700140663,10
{},1700140668,10
{},1700140673,10
{},1700140678,10
{},1700140683,10
{},1700140688,10
{},1700140693,10
{},1700140698,10
{},1700140703,10
{},1700140708,10
{},1700140713,10
{},1700140718,10
{},1700140723,10
{},1700140728,10
{},1700140733,0.008840510441811918
{},1700140738,0.008725506034039637
{},1700140743,0.008148806974941364
{},1700140748,0.008148806974941362
{},1700140753,0.008146044898795179
{},1700140758,0.00814604489879518
{},1700140763,0.008142812869333585
{},1700140768,0.008142812869333587
{},1700140773,0.008140408585422825
{},1700140778,0.008140408585422823
{},1700140783,0.008137428228793602
{},1700140788,0.008137428228793602
{},1700140793,0.008135308429625605
{},1700140798,0.008135308429625607
{},1700140803,0.008133728045373573
{},1700140808,0.008133728045373571
{},1700140813,0.00813227068220015
{},1700140818,0.00813227068220015
{},1700140823,0.008131278728432834
{},1700140828,0.008131278728432832
{},1700140833,0.008132024476950807
{},1700140838,0.008132024476950805
{},1700140843,0.008130751596407523
{},1700140848,0.008130751596407523
{},1700140853,0.008131377953187201
{},1700140858,0.008131377953187205
{},1700140863,0.008130501293860832
{},1700140868,0.00813050129386083
{},1700140873,0.008130699738852791
{},1700140878,0.00813069973885279
{},1700140883,0.00813026225
{},1700140888,0.008130262249999997
{},1700140893,0.008129663689555621
{},1700140898,0.008129663689555623
{},1700140903,0.008129476881183546
{},1700140908,0.008129476881183546
{},1700140913,0.008130216057126946
{},1700140918,0.008130216057126946
{},1700140923,0.008130212810534467
{},1700140928,0.008130212810534467
{},1700140933,0.0081304245676748
{},1700140938,0.0081304245676748
{},1700140943,0.008129666808181236
{},1700140948,0.008129666401758889
{},1700140953,0.0081307400027913
{},1700140958,0.008130739508482875
{},1700140963,0.008130718561977323
{},1700140968,0.008130717988146205
{},1700140973,0.008131035493762241
{},1700140978,0.00813103427856449
{},1700140983,0.008131263002108029
{},1700140988,0.00813126100411531
{},1700140993,0.008131818778731514
{},1700140998,0.008131816128225784
{},1700141003,0.008131680005740874
{},1700141008,0.008131675614689984
{},1700141013,0.008132169909880433
{},1700141018,0.008132165004191658
{},1700141023,0.00813232296537619
{},1700141028,0.008132316180733231
{},1700141033,0.008132786490537
{},1700141038,0.008132778272495058
{},1700141043,0.008132535601178131
{},1700141048,0.008132522705976366
{},1700141053,0.008132483722934077
